,instance,iteration,event,duration,global,hourly_cost,hours,cost
0,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_002976531/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,557.5069131851196,createsim_runtime,2.463,0.154863031440311,0.381427646437486
13,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_084618851/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,553.6589634418488,createsim_runtime,2.463,0.15379415651162465,0.3787950074881315
26,r7iz-8xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-r7iz-8xlarge/createsims-times.json,createsim_runtime,1377.90673494339,createsim_runtime,2.976,0.3827518708176083,1.1390695675532023
39,c6in-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c6in-12xlarge/createsims-times.json,createsim_runtime,1152.739853143692,createsim_runtime,2.722,0.32020551476213666,0.8715994111825359
52,m6a-16xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-m6a-16xlarge/createsims-times.json,createsim_runtime,1605.9035866260529,createsim_runtime,2.765,0.446084329618348,1.2334231713947323
65,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_079741519/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,584.0258073806763,createsim_runtime,2.463,0.16222939093907673,0.399570989882946
78,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030900546/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,556.4058754444122,createsim_runtime,2.463,0.15455718762344786,0.3806743531165521
91,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale/data/structure_030603303/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,578.8899228572845,createsim_runtime,2.463,0.1608027563492457,0.3960571888881922
131,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale-0/data/structure_057708346/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,554.2742280960083,createsim_runtime,2.463,0.15396506336000232,0.37921595105568573
144,c7a-12xlarge,/home/vanessa/Desktop/Code/mummi-experiments/experiments/aws-march-2025/cpu-node-selector/monitor/cpu-autoscale-0/data/structure_041370988/createsim-c7a-12xlarge/createsims-times.json,createsim_runtime,553.0885779857635,createsim_runtime,2.463,0.15363571610715654,0.3784047687719266
