NAME                                             READY   STATUS      RESTARTS     AGE    IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-iter00-000000000000-g8tmw   0/1     Completed   0            120m   192.168.14.210   ip-192-168-1-128.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000001-fq4xg   0/1     Completed   0            120m   192.168.19.252   ip-192-168-8-22.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000002-6tnd6   0/1     Completed   0            89m    192.168.12.143   ip-192-168-1-128.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000003-gpwrt   0/1     Completed   0            112m   192.168.14.183   ip-192-168-4-207.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000004-vh6rf   0/1     Completed   0            89m    192.168.21.140   ip-192-168-8-22.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000005-r9q27   0/1     Completed   0            82m    192.168.1.191    ip-192-168-4-207.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000006-cxskx   0/1     Completed   0            60m    192.168.20.168   ip-192-168-1-128.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000008-d24ld   0/1     Completed   0            59m    192.168.9.66     ip-192-168-8-22.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000010-j6552   0/1     Completed   0            51m    192.168.13.254   ip-192-168-4-207.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000012-j4tjd   0/1     Completed   0            29m    192.168.12.143   ip-192-168-1-128.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000014-ghvx6   1/1     Running     0            29m    192.168.28.206   ip-192-168-8-22.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000016-fl7nq   1/1     Running     0            21m    192.168.31.158   ip-192-168-4-207.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000000-z6778    0/1     Completed   0            129m   192.168.27.194   ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000001-rzg7t    0/1     Completed   0            129m   192.168.29.208   ip-192-168-4-207.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000002-djxl7    0/1     Completed   0            120m   192.168.13.141   ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000003-dvd7q    0/1     Completed   0            120m   192.168.0.229    ip-192-168-4-207.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000004-r56fz    0/1     Completed   0            111m   192.168.2.231    ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000005-xdg76    0/1     Completed   0            111m   192.168.29.11    ip-192-168-22-173.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000006-qcx6p    0/1     Completed   0            103m   192.168.6.220    ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000008-6966v    0/1     Completed   0            102m   192.168.15.234   ip-192-168-22-173.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000010-dd8zt    0/1     Completed   0            95m    192.168.16.22    ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000012-xkmwd    0/1     Completed   0            94m    192.168.10.4     ip-192-168-22-173.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000014-qv9kj    0/1     Completed   0            86m    192.168.27.57    ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000016-pr72n    0/1     Completed   0            86m    192.168.29.11    ip-192-168-22-173.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000018-ph9vg    0/1     Completed   0            78m    192.168.29.181   ip-192-168-7-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000019-4d6kf    0/1     Error       0            78m    192.168.0.5      ip-192-168-22-173.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000078-dbnq6    0/1     Error       0            70m    192.168.13.51    ip-192-168-22-173.ec2.internal   <none>           <none>
mummi-sample-mlserver-bcbb4f76-5b4tw             1/1     Running     0            133m   192.168.6.72     ip-192-168-22-173.ec2.internal   <none>           <none>
mummi-sample-rabbitmq-7fb6b7b4d9-w2w6p           1/1     Running     0            133m   192.168.60.190   ip-192-168-38-13.ec2.internal    <none>           <none>
mummi-sample-wfmanager-568547b999-g482v          1/1     Running     1 (3s ago)   130m   192.168.13.161   ip-192-168-8-22.ec2.internal     <none>           <none>
registry-0                                       1/1     Running     0            133m   192.168.61.56    ip-192-168-38-13.ec2.internal    <none>           <none>
