NAME                                             READY   STATUS      RESTARTS   AGE    IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-iter00-000000000000-29mrs   0/1     Completed   0          123m   192.168.20.129   ip-192-168-5-54.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000001-pwkss   0/1     Completed   0          122m   192.168.4.209    ip-192-168-17-167.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000002-pf67j   0/1     Completed   0          90m    192.168.5.71     ip-192-168-5-54.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000004-5rkrp   0/1     Completed   0          109m   192.168.30.197   ip-192-168-20-59.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000006-6z9zw   0/1     Completed   0          89m    192.168.20.125   ip-192-168-17-167.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000008-jvgqm   0/1     Completed   0          76m    192.168.10.46    ip-192-168-20-59.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000010-bnf9r   0/1     Completed   0          60m    192.168.26.217   ip-192-168-5-54.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000012-jpk5b   0/1     Completed   0          59m    192.168.4.209    ip-192-168-17-167.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000014-4jl92   0/1     Completed   0          46m    192.168.6.159    ip-192-168-20-59.ec2.internal    <none>           <none>
cganalysis-structure-iter00-000000000016-mmvmb   0/1     Completed   0          30m    192.168.28.157   ip-192-168-5-54.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000018-zrj74   1/1     Running     0          29m    192.168.2.199    ip-192-168-17-167.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000020-h4dqb   1/1     Running     0          16m    192.168.24.221   ip-192-168-20-59.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000000-b9bh7    0/1     Completed   0          140m   192.168.28.157   ip-192-168-5-54.ec2.internal     <none>           <none>
createsim-structure-iter00-000000000001-bt5s4    0/1     Completed   0          140m   192.168.30.145   ip-192-168-20-59.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000002-tk7kf    0/1     Completed   0          123m   192.168.29.111   ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000004-nbmdd    0/1     Completed   0          122m   192.168.9.240    ip-192-168-20-59.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000006-b446m    0/1     Completed   0          108m   192.168.9.167    ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000008-5vzbm    0/1     Completed   0          105m   192.168.12.198   ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000010-5zclx    0/1     Completed   0          92m    192.168.4.218    ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000012-9qltr    0/1     Completed   0          91m    192.168.17.126   ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000014-x9kf8    0/1     Completed   0          78m    192.168.24.70    ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000016-54vjr    0/1     Completed   0          77m    192.168.28.11    ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000018-jgngt    0/1     Completed   0          64m    192.168.29.111   ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000020-brbl6    0/1     Completed   0          63m    192.168.17.126   ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000022-vdpmq    0/1     Completed   0          51m    192.168.7.73     ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000024-9gjpg    0/1     Completed   0          49m    192.168.20.37    ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000026-z8qc6    0/1     Completed   0          37m    192.168.29.111   ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000028-b4brp    0/1     Completed   0          35m    192.168.13.154   ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000030-qdrxr    0/1     Completed   0          24m    192.168.7.73     ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000032-dxhzw    0/1     Completed   0          21m    192.168.17.126   ip-192-168-24-242.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000034-4x7s4    1/1     Running     0          10m    192.168.28.64    ip-192-168-12-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000036-m27qt    1/1     Running     0          8m8s   192.168.9.246    ip-192-168-24-242.ec2.internal   <none>           <none>
mummi-sample-mlserver-78746977b4-4bjdz           1/1     Running     0          151m   192.168.2.144    ip-192-168-3-10.ec2.internal     <none>           <none>
mummi-sample-rabbitmq-5d874bc456-hd2vk           1/1     Running     0          151m   192.168.19.69    ip-192-168-12-228.ec2.internal   <none>           <none>
mummi-sample-wfmanager-64d87ddb87-wddgj          1/1     Running     0          140m   192.168.14.35    ip-192-168-3-10.ec2.internal     <none>           <none>
registry-0                                       1/1     Running     0          151m   192.168.28.66    ip-192-168-17-167.ec2.internal   <none>           <none>
