NAME                                             READY   STATUS      RESTARTS   AGE     IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-iter00-000000000000-jnrvd   0/1     Completed   0          123m    192.168.9.135    ip-192-168-30-200.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000001-fnz7r   0/1     Completed   0          123m    192.168.15.197   ip-192-168-13-151.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000002-b2lfw   0/1     Completed   0          109m    192.168.15.51    ip-192-168-15-214.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000003-rlw66   0/1     Completed   0          90m     192.168.11.87    ip-192-168-30-200.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000004-kqshg   0/1     Completed   0          89m     192.168.8.22     ip-192-168-13-151.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000006-n6rs2   0/1     Completed   0          76m     192.168.26.65    ip-192-168-15-214.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000008-xgjfv   0/1     Completed   0          59m     192.168.5.80     ip-192-168-30-200.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000009-kghvj   0/1     Completed   0          59m     192.168.13.63    ip-192-168-13-151.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000010-vbqxl   0/1     Completed   0          46m     192.168.8.167    ip-192-168-15-214.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000011-sdsmv   0/1     Completed   0          29m     192.168.27.4     ip-192-168-30-200.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000012-msndx   1/1     Running     0          29m     192.168.15.197   ip-192-168-13-151.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000013-mmvlx   1/1     Running     0          16m     192.168.15.51    ip-192-168-15-214.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000000-5z2qr    0/1     Completed   0          140m    192.168.4.206    ip-192-168-15-214.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000001-bzk7v    0/1     Completed   0          140m    192.168.14.254   ip-192-168-30-200.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000002-dkx8k    0/1     Completed   0          122m    192.168.4.206    ip-192-168-15-214.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000003-6lmd4    0/1     Completed   0          122m    192.168.19.178   ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000004-wq5w9    0/1     Completed   0          109m    192.168.3.189    ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000006-jvcmj    0/1     Completed   0          105m    192.168.8.40     ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000008-s5qkc    0/1     Completed   0          91m     192.168.24.66    ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000009-dzdwd    0/1     Completed   0          91m     192.168.21.110   ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000010-jlqqv    0/1     Completed   0          77m     192.168.25.224   ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000011-2hngh    0/1     Completed   0          77m     192.168.21.110   ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000012-n27p8    0/1     Completed   0          63m     192.168.30.219   ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000013-8tkkm    0/1     Completed   0          63m     192.168.1.58     ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000014-4s6nm    0/1     Completed   0          49m     192.168.1.59     ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000015-f6dgl    0/1     Completed   0          49m     192.168.19.250   ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000016-86b74    0/1     Completed   0          35m     192.168.1.58     ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000018-q7wqk    0/1     Completed   0          35m     192.168.25.224   ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000020-9xt6h    0/1     Completed   0          22m     192.168.1.64     ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000022-w752p    0/1     Completed   0          21m     192.168.20.120   ip-192-168-19-72.ec2.internal    <none>           <none>
createsim-structure-iter00-000000000024-9dljh    1/1     Running     0          8m58s   192.168.1.58     ip-192-168-25-188.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000026-mmtk5    1/1     Running     0          7m59s   192.168.30.219   ip-192-168-19-72.ec2.internal    <none>           <none>
mummi-sample-mlserver-78746977b4-52xnp           1/1     Running     0          146m    192.168.10.5     ip-192-168-18-37.ec2.internal    <none>           <none>
mummi-sample-rabbitmq-5d874bc456-rshdl           1/1     Running     0          146m    192.168.0.243    ip-192-168-15-214.ec2.internal   <none>           <none>
mummi-sample-wfmanager-64d87ddb87-fs97j          1/1     Running     0          140m    192.168.4.244    ip-192-168-13-151.ec2.internal   <none>           <none>
registry-0                                       1/1     Running     0          146m    192.168.27.127   ip-192-168-19-72.ec2.internal    <none>           <none>
