NAME                                             READY   STATUS      RESTARTS   AGE     IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-iter00-000000000000-r2c2v   0/1     Completed   0          82m     192.168.18.132   ip-192-168-5-11.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000001-lbcd8   0/1     Completed   0          83m     192.168.1.98     ip-192-168-4-0.ec2.internal      <none>           <none>
cganalysis-structure-iter00-000000000204-tc5gw   0/1     Completed   0          70m     192.168.28.197   ip-192-168-29-172.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000207-lh58f   0/1     Completed   0          49m     192.168.4.106    ip-192-168-4-0.ec2.internal      <none>           <none>
cganalysis-structure-iter00-000000000210-t2x2p   0/1     Completed   0          36m     192.168.11.170   ip-192-168-29-172.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000211-kl7cc   0/1     Completed   0          33m     192.168.29.92    ip-192-168-5-11.ec2.internal     <none>           <none>
cganalysis-structure-iter00-000000000213-dp46b   1/1     Running     0          5m45s   192.168.14.178   ip-192-168-29-172.ec2.internal   <none>           <none>
cganalysis-structure-iter00-000000000214-9ktd8   1/1     Running     0          3m10s   192.168.31.109   ip-192-168-4-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000000-5p2b9    0/1     Completed   0          100m    192.168.10.162   ip-192-168-23-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000001-fdrsq    0/1     Completed   0          100m    192.168.23.238   ip-192-168-29-172.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000204-28tdg    0/1     Completed   0          83m     192.168.14.178   ip-192-168-29-172.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000207-qclk2    0/1     Completed   0          82m     192.168.15.218   ip-192-168-23-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000210-kghdr    0/1     Completed   0          49m     192.168.10.162   ip-192-168-23-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000211-j7qrr    0/1     Completed   0          49m     192.168.5.188    ip-192-168-5-11.ec2.internal     <none>           <none>
createsim-structure-iter00-000000000213-vk2lz    0/1     Completed   0          19m     192.168.15.64    ip-192-168-23-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000214-g4t9q    0/1     Completed   0          19m     192.168.4.106    ip-192-168-4-0.ec2.internal      <none>           <none>
createsim-structure-iter00-000000000216-xthhn    1/1     Running     0          3m11s   192.168.10.162   ip-192-168-23-228.ec2.internal   <none>           <none>
createsim-structure-iter00-000000000217-622wt    1/1     Running     0          3m11s   192.168.21.77    ip-192-168-5-11.ec2.internal     <none>           <none>
mummi-sample-mlserver-78746977b4-vv6r5           1/1     Running     0          107m    192.168.20.97    ip-192-168-17-154.ec2.internal   <none>           <none>
mummi-sample-rabbitmq-5d874bc456-bt5vs           1/1     Running     0          107m    192.168.31.34    ip-192-168-5-11.ec2.internal     <none>           <none>
mummi-sample-wfmanager-64d87ddb87-9b7bn          1/1     Running     0          101m    192.168.20.250   ip-192-168-4-0.ec2.internal      <none>           <none>
registry-0                                       1/1     Running     0          107m    192.168.23.129   ip-192-168-5-11.ec2.internal     <none>           <none>
