,experiment,job,count,iteration
0,gpu-static,mlsample,38,1
1,gpu-static,createsim,19,1
2,gpu-static,cganalysis,11,1
3,gpu-static,mlsample,28,2
4,gpu-static,createsim,18,2
5,gpu-static,cganalysis,11,2
6,gpu-static,mlsample,256,3
7,gpu-static,createsim,16,3
8,gpu-static,cganalysis,11,3
9,cpu-static,mlsample,640,1
10,cpu-static,createsim,13,1
11,cpu-static,cganalysis,11,1
12,cpu-static,mlsample,34,2
13,cpu-static,createsim,15,2
14,cpu-static,cganalysis,12,2
15,cpu-static,mlsample,20,3
16,cpu-static,createsim,19,3
17,cpu-static,cganalysis,11,3
