,experiment,function,job,duration,iteration
0,gpu-static,cganalysis_load_mdanalysis,cganalysis,22.451114416122437,0
1,gpu-static,cganalysis_load_mdanalysis,cganalysis,18.92339777946472,1
2,gpu-static,cganalysis_load_mdanalysis,cganalysis,21.82431197166443,2
3,gpu-static,cganalysis_run,cganalysis,17863.326999664307,0
4,gpu-static,cganalysis_run,cganalysis,17855.150000333786,1
5,gpu-static,cganalysis_run,cganalysis,19490.499000310898,2
6,gpu-static,cganalysis_run_simulation,cganalysis,50.101351499557495,0
7,gpu-static,cganalysis_run_simulation,cganalysis,50.10318064689636,1
8,gpu-static,cganalysis_run_simulation,cganalysis,50.104368686676025,2
9,gpu-static,cganalysis_simrun,cganalysis,50.09784150123596,0
10,gpu-static,cganalysis_simrun,cganalysis,50.09811758995056,1
11,gpu-static,cganalysis_simrun,cganalysis,50.09806299209595,2
12,gpu-static,createsim_runtime,createsim,15763.787312984467,0
13,gpu-static,createsim_runtime,createsim,16141.868764400482,1
14,gpu-static,createsim_runtime,createsim,16223.002920150757,2
15,gpu-static,createsims_create_cg_patch,createsim,0.04201197624206543,0
16,gpu-static,createsims_create_cg_patch,createsim,0.0417790412902832,1
17,gpu-static,createsims_create_cg_patch,createsim,0.04517698287963867,2
18,gpu-static,createsims_generate_velocities,createsim,1041.1377346515656,0
19,gpu-static,createsims_generate_velocities,createsim,1021.6745479106903,1
20,gpu-static,createsims_generate_velocities,createsim,1021.2259330749512,2
21,gpu-static,createsims_gromacs_energy_minimization,createsim,133.976975440979,0
22,gpu-static,createsims_gromacs_energy_minimization,createsim,98.7807834148407,1
23,gpu-static,createsims_gromacs_energy_minimization,createsim,68.45896482467651,2
24,gpu-static,createsims_gromacs_make_ndx,createsim,18.432406663894653,0
25,gpu-static,createsims_gromacs_make_ndx,createsim,18.349104166030884,1
26,gpu-static,createsims_gromacs_make_ndx,createsim,19.87181830406189,2
27,gpu-static,createsims_mdrun_lipids_water,createsim,161.50383758544922,0
28,gpu-static,createsims_mdrun_lipids_water,createsim,118.46438384056091,1
29,gpu-static,createsims_mdrun_lipids_water,createsim,77.21598386764526,2
30,gpu-static,createsims_prime_cg_sim,createsim,60.62519860267639,0
31,gpu-static,createsims_prime_cg_sim,createsim,61.36391854286194,1
32,gpu-static,createsims_prime_cg_sim,createsim,65.44036388397217,2
33,gpu-static,createsims_pull_molecules,createsim,8827.886528968811,0
34,gpu-static,createsims_pull_molecules,createsim,9451.685881614685,1
35,gpu-static,createsims_pull_molecules,createsim,9265.846496105194,2
36,gpu-static,createsims_relax_protein,createsim,784.4139912128448,0
37,gpu-static,createsims_relax_protein,createsim,754.4316656589508,1
38,gpu-static,createsims_relax_protein,createsim,850.4834778308868,2
39,gpu-static,createsims_setup_cg_sim,createsim,15699.563224077225,0
40,gpu-static,createsims_setup_cg_sim,createsim,16077.183973550797,1
41,gpu-static,createsims_setup_cg_sim,createsim,16153.799701213837,2
42,gpu-static,createsims_short_equilibration,createsim,4572.656710386276,0
43,gpu-static,createsims_short_equilibration,createsim,4481.529494524002,1
44,gpu-static,createsims_short_equilibration,createsim,4732.679642677307,2
45,gpu-static,createsims_trjconv_lipids_water,createsim,29.948134183883667,0
46,gpu-static,createsims_trjconv_lipids_water,createsim,22.07889986038208,1
47,gpu-static,createsims_trjconv_lipids_water,createsim,15.181829929351807,2
