,experiment,job,count,iteration,operator,environment
0,mummi-gpu,mlsample,38,1,mummi,gpu-static
1,mummi-gpu,createsim,19,1,mummi,gpu-static
2,mummi-gpu,cganalysis,11,1,mummi,gpu-static
3,mummi-gpu,mlsample,28,2,mummi,gpu-static
4,mummi-gpu,createsim,18,2,mummi,gpu-static
5,mummi-gpu,cganalysis,11,2,mummi,gpu-static
6,mummi-gpu,mlsample,256,3,mummi,gpu-static
7,mummi-gpu,createsim,16,3,mummi,gpu-static
8,mummi-gpu,cganalysis,11,3,mummi,gpu-static
9,mummi-cpu,mlsample,640,1,mummi,cpu-static
10,mummi-cpu,createsim,13,1,mummi,cpu-static
11,mummi-cpu,cganalysis,11,1,mummi,cpu-static
0,state-machine-cpu,mlsample,12,0,state-machine,cpu-static
1,state-machine-cpu,createsim,10,0,state-machine,cpu-static
2,state-machine-cpu,cganalysis,10,0,state-machine,cpu-static
3,state-machine-cpu,mlsample,10,1,state-machine,cpu-static
4,state-machine-cpu,createsim,10,1,state-machine,cpu-static
5,state-machine-cpu,cganalysis,10,1,state-machine,cpu-static
6,state-machine-cpu,mlsample,11,2,state-machine,cpu-static
7,state-machine-cpu,createsim,10,2,state-machine,cpu-static
8,state-machine-cpu,cganalysis,10,2,state-machine,cpu-static
9,state-machine-cpu-autoscale,mlsample,12,0,state-machine,cpu-autoscale
10,state-machine-cpu-autoscale,createsim,10,0,state-machine,cpu-autoscale
11,state-machine-cpu-autoscale,cganalysis,10,0,state-machine,cpu-autoscale
12,state-machine-cpu-autoscale,mlsample,11,1,state-machine,cpu-autoscale
13,state-machine-cpu-autoscale,createsim,10,1,state-machine,cpu-autoscale
14,state-machine-cpu-autoscale,cganalysis,10,1,state-machine,cpu-autoscale
15,state-machine-cpu-autoscale,mlsample,12,2,state-machine,cpu-autoscale
16,state-machine-cpu-autoscale,createsim,10,2,state-machine,cpu-autoscale
17,state-machine-cpu-autoscale,cganalysis,10,2,state-machine,cpu-autoscale
18,state-machine-gpu,mlsample,11,0,state-machine,gpu-static
19,state-machine-gpu,createsim,10,0,state-machine,gpu-static
20,state-machine-gpu,cganalysis,10,0,state-machine,gpu-static
21,state-machine-gpu,mlsample,10,1,state-machine,gpu-static
22,state-machine-gpu,createsim,10,1,state-machine,gpu-static
23,state-machine-gpu,cganalysis,10,1,state-machine,gpu-static
24,state-machine-gpu,mlsample,10,2,state-machine,gpu-static
25,state-machine-gpu,createsim,10,2,state-machine,gpu-static
26,state-machine-gpu,cganalysis,10,2,state-machine,gpu-static
27,state-machine-gpu-autoscale,mlsample,10,0,state-machine,gpu-autoscale
28,state-machine-gpu-autoscale,createsim,10,0,state-machine,gpu-autoscale
29,state-machine-gpu-autoscale,cganalysis,10,0,state-machine,gpu-autoscale
30,state-machine-gpu-autoscale,mlsample,10,1,state-machine,gpu-autoscale
31,state-machine-gpu-autoscale,createsim,10,1,state-machine,gpu-autoscale
32,state-machine-gpu-autoscale,cganalysis,10,1,state-machine,gpu-autoscale
33,state-machine-gpu-autoscale,mlsample,11,2,state-machine,gpu-autoscale
34,state-machine-gpu-autoscale,createsim,10,2,state-machine,gpu-autoscale
35,state-machine-gpu-autoscale,cganalysis,10,2,state-machine,gpu-autoscale
0,flux-state-machine-cpu,mlsample,11,1,flux-state-machine,cpu-static
1,flux-state-machine-cpu,createsim,10,1,flux-state-machine,cpu-static
2,flux-state-machine-cpu,cganalysis,10,1,flux-state-machine,cpu-static
3,flux-state-machine-cpu,mlsample,10,3,flux-state-machine,cpu-static
4,flux-state-machine-cpu,createsim,10,3,flux-state-machine,cpu-static
5,flux-state-machine-cpu,cganalysis,10,3,flux-state-machine,cpu-static
6,flux-state-machine-cpu,mlsample,10,2,flux-state-machine,cpu-static
7,flux-state-machine-cpu,createsim,10,2,flux-state-machine,cpu-static
8,flux-state-machine-cpu,cganalysis,10,2,flux-state-machine,cpu-static
9,flux-state-machine-gpu,mlsample,11,1,flux-state-machine,gpu-static
10,flux-state-machine-gpu,createsim,10,1,flux-state-machine,gpu-static
11,flux-state-machine-gpu,cganalysis,10,1,flux-state-machine,gpu-static
12,flux-state-machine-gpu,mlsample,10,3,flux-state-machine,gpu-static
13,flux-state-machine-gpu,createsim,10,3,flux-state-machine,gpu-static
14,flux-state-machine-gpu,cganalysis,10,3,flux-state-machine,gpu-static
15,flux-state-machine-gpu,mlsample,10,2,flux-state-machine,gpu-static
16,flux-state-machine-gpu,createsim,10,2,flux-state-machine,gpu-static
17,flux-state-machine-gpu,cganalysis,10,2,flux-state-machine,gpu-static
