,experiment,job,count,iteration,operator,environment
0,mummi gpu,mlsample,28,1,mummi,gpu-static
1,mummi gpu,createsim,9,1,mummi,gpu-static
2,mummi gpu,cganalysis,1,1,mummi,gpu-static
3,mummi gpu,mlsample,18,2,mummi,gpu-static
4,mummi gpu,createsim,8,2,mummi,gpu-static
5,mummi gpu,cganalysis,1,2,mummi,gpu-static
6,mummi gpu,mlsample,246,3,mummi,gpu-static
7,mummi gpu,createsim,6,3,mummi,gpu-static
8,mummi gpu,cganalysis,1,3,mummi,gpu-static
9,mummi cpu,mlsample,630,1,mummi,cpu-static
10,mummi cpu,createsim,3,1,mummi,cpu-static
11,mummi cpu,cganalysis,1,1,mummi,cpu-static
12,mummi cpu,mlsample,24,2,mummi,cpu-static
13,mummi cpu,createsim,5,2,mummi,cpu-static
14,mummi cpu,cganalysis,2,2,mummi,cpu-static
15,mummi cpu,mlsample,10,3,mummi,cpu-static
16,mummi cpu,createsim,9,3,mummi,cpu-static
17,mummi cpu,cganalysis,1,3,mummi,cpu-static
0,state machine cpu,mlsample,2,0,state-machine,cpu-static
1,state machine cpu,createsim,0,0,state-machine,cpu-static
2,state machine cpu,cganalysis,0,0,state-machine,cpu-static
3,state machine cpu,mlsample,0,1,state-machine,cpu-static
4,state machine cpu,createsim,0,1,state-machine,cpu-static
5,state machine cpu,cganalysis,0,1,state-machine,cpu-static
6,state machine cpu,mlsample,1,2,state-machine,cpu-static
7,state machine cpu,createsim,0,2,state-machine,cpu-static
8,state machine cpu,cganalysis,0,2,state-machine,cpu-static
9,state machine cpu autoscale,mlsample,2,0,state-machine,cpu-autoscale
10,state machine cpu autoscale,createsim,0,0,state-machine,cpu-autoscale
11,state machine cpu autoscale,cganalysis,0,0,state-machine,cpu-autoscale
12,state machine cpu autoscale,mlsample,1,1,state-machine,cpu-autoscale
13,state machine cpu autoscale,createsim,0,1,state-machine,cpu-autoscale
14,state machine cpu autoscale,cganalysis,0,1,state-machine,cpu-autoscale
15,state machine cpu autoscale,mlsample,2,2,state-machine,cpu-autoscale
16,state machine cpu autoscale,createsim,0,2,state-machine,cpu-autoscale
17,state machine cpu autoscale,cganalysis,0,2,state-machine,cpu-autoscale
18,state machine gpu,mlsample,1,0,state-machine,gpu-static
19,state machine gpu,createsim,0,0,state-machine,gpu-static
20,state machine gpu,cganalysis,0,0,state-machine,gpu-static
21,state machine gpu,mlsample,0,1,state-machine,gpu-static
22,state machine gpu,createsim,0,1,state-machine,gpu-static
23,state machine gpu,cganalysis,0,1,state-machine,gpu-static
24,state machine gpu,mlsample,0,2,state-machine,gpu-static
25,state machine gpu,createsim,0,2,state-machine,gpu-static
26,state machine gpu,cganalysis,0,2,state-machine,gpu-static
27,state machine gpu autoscale,mlsample,0,0,state-machine,gpu-autoscale
28,state machine gpu autoscale,createsim,0,0,state-machine,gpu-autoscale
29,state machine gpu autoscale,cganalysis,0,0,state-machine,gpu-autoscale
30,state machine gpu autoscale,mlsample,0,1,state-machine,gpu-autoscale
31,state machine gpu autoscale,createsim,0,1,state-machine,gpu-autoscale
32,state machine gpu autoscale,cganalysis,0,1,state-machine,gpu-autoscale
33,state machine gpu autoscale,mlsample,1,2,state-machine,gpu-autoscale
34,state machine gpu autoscale,createsim,0,2,state-machine,gpu-autoscale
35,state machine gpu autoscale,cganalysis,0,2,state-machine,gpu-autoscale
0,flux state machine cpu,mlsample,1,1,flux-state-machine,cpu-static
1,flux state machine cpu,createsim,0,1,flux-state-machine,cpu-static
2,flux state machine cpu,cganalysis,0,1,flux-state-machine,cpu-static
3,flux state machine cpu,mlsample,0,3,flux-state-machine,cpu-static
4,flux state machine cpu,createsim,0,3,flux-state-machine,cpu-static
5,flux state machine cpu,cganalysis,0,3,flux-state-machine,cpu-static
6,flux state machine cpu,mlsample,0,2,flux-state-machine,cpu-static
7,flux state machine cpu,createsim,0,2,flux-state-machine,cpu-static
8,flux state machine cpu,cganalysis,0,2,flux-state-machine,cpu-static
9,flux state machine gpu,mlsample,1,1,flux-state-machine,gpu-static
10,flux state machine gpu,createsim,0,1,flux-state-machine,gpu-static
11,flux state machine gpu,cganalysis,0,1,flux-state-machine,gpu-static
12,flux state machine gpu,mlsample,0,3,flux-state-machine,gpu-static
13,flux state machine gpu,createsim,0,3,flux-state-machine,gpu-static
14,flux state machine gpu,cganalysis,0,3,flux-state-machine,gpu-static
15,flux state machine gpu,mlsample,0,2,flux-state-machine,gpu-static
16,flux state machine gpu,createsim,0,2,flux-state-machine,gpu-static
17,flux state machine gpu,cganalysis,0,2,flux-state-machine,gpu-static
