,experiment,operator,cost,environment,iteration
0,state machine autoscale cpu,state-machine-autoscale,12.04902302775264,cpu,1
1,state machine autoscale cpu,state-machine-autoscale,13.746289605970981,cpu,2
2,state machine autoscale cpu,state-machine-autoscale,12.178196196105482,cpu,0
3,state machine autoscale gpu,state-machine-autoscale,26.641778948354723,gpu,2
4,state machine autoscale gpu,state-machine-autoscale,26.261729870343206,gpu,0
5,state machine autoscale gpu,state-machine-autoscale,26.212380714356897,gpu,1
6,mummi gpu,mummi,42.70402295036317,gpu,1
7,mummi gpu,mummi,42.93310857317448,gpu,2
8,mummi gpu,mummi,44.04309132342338,gpu,3
9,mummi cpu,mummi,21.80825002254724,cpu,1
10,state machine cpu,state-machine,14.261948559433222,cpu,0
11,state machine cpu,state-machine,14.01012145368576,cpu,1
12,state machine cpu,state-machine,14.282956163002252,cpu,2
13,state machine gpu,state-machine,30.50271670575142,gpu,0
14,state machine gpu,state-machine,30.685779161667824,gpu,1
15,state machine gpu,state-machine,30.390030099606516,gpu,2
16,flux state machine cpu,flux-state-machine,15.14937626528283,cpu,1
17,flux state machine cpu,flux-state-machine,14.663595245763302,cpu,3
18,flux state machine cpu,flux-state-machine,14.87129457371109,cpu,2
19,flux state machine gpu,flux-state-machine,37.95011374633084,gpu,1
20,flux state machine gpu,flux-state-machine,38.09977505962028,gpu,3
21,flux state machine gpu,flux-state-machine,38.8857529892355,gpu,2
