       JOBID USER     NAME       ST NTASKS NNODES     TIME INFO
   ƒbNrjbT3M ubuntu   cganalysis CD      1      1    29.8m i-0ddcdd3e4148b6341
   ƒbJSvHNiK ubuntu   cganalysis CD      1      1    29.8m i-05c5ad7a2c0e69096
   ƒbJLoxLMu ubuntu   cganalysis CD      1      1    29.8m i-0de12c6c888a06746
   ƒb4osxacw ubuntu   cganalysis CD      1      1   29.81m i-0736e864e12f26c05
   ƒW7pMADFV ubuntu   createsim  CD      1      1   11.53m i-0ddcdd3e4148b6341
   ƒW7K1CRjd ubuntu   createsim  CD      1      1   11.39m i-0573165421488a571
   ƒW7sAErFR ubuntu   createsim  CD      1      1   11.36m i-0757c9a3fbc70239a
   ƒVwS2Tzjy ubuntu   createsim  CD      1      1   11.24m i-05c5ad7a2c0e69096
   ƒGpUdcbwd ubuntu   cganalysis CD      1      1   29.91m i-0736e864e12f26c05
   ƒGb2wYJyM ubuntu   cganalysis CD      1      1   30.11m i-0de12c6c888a06746
   ƒVzmYpFJf ubuntu   mlrunner   CD      1      1   15.97s i-0757c9a3fbc70239a
   ƒVzkCEuNP ubuntu   mlrunner   CD      1      1   15.99s i-0ddcdd3e4148b6341
   ƒVz8CpLas ubuntu   mlrunner   CD      1      1   16.12s i-0573165421488a571
   ƒGFbpiKgB ubuntu   cganalysis CD      1      1   30.14m i-0757c9a3fbc70239a
   ƒGCeb9GrB ubuntu   cganalysis CD      1      1   30.26m i-0ddcdd3e4148b6341
   ƒGFqSuisy ubuntu   cganalysis CD      1      1   30.11m i-0573165421488a571
   ƒVpQXjQAj ubuntu   mlrunner   CD      1      1   15.67s i-05c5ad7a2c0e69096
   ƒG9LkeCtF ubuntu   cganalysis CD      1      1   29.99m i-05c5ad7a2c0e69096
   ƒBVePosKu ubuntu   createsim  CD      1      1   11.67m i-0736e864e12f26c05
   ƒAo1Nqgb1 ubuntu   createsim  CD      1      1    12.7m i-0de12c6c888a06746
   ƒAnyJkgm5 ubuntu   createsim  CD      1      1   11.98m i-0573165421488a571
   ƒAo9nbcJT ubuntu   createsim  CD      1      1   11.96m i-0757c9a3fbc70239a
   ƒAnwWyZ2w ubuntu   createsim  CD      1      1   11.86m i-0ddcdd3e4148b6341
   ƒAnH6iAUf ubuntu   createsim  CD      1      1   11.76m i-05c5ad7a2c0e69096
   ƒBMynRFZy ubuntu   mlrunner   CD      1      1   17.13s i-0736e864e12f26c05
   ƒAo55otT1 ubuntu   createsim   F      1      1   1.241m i-0736e864e12f26c05
   ƒAXC1n5oV ubuntu   mlrunner   CD      1      1   36.16s i-0757c9a3fbc70239a
   ƒAX7eGCcX ubuntu   mlrunner   CD      1      1   36.15s i-0736e864e12f26c05
   ƒAX95HWPq ubuntu   mlrunner   CD      1      1   35.94s i-0de12c6c888a06746
   ƒAXDhdGQF ubuntu   mlrunner   CD      1      1   35.63s i-0573165421488a571
   ƒAX65pxRV ubuntu   mlrunner   CD      1      1   35.91s i-0ddcdd3e4148b6341
   ƒAXAZGnjq ubuntu   mlrunner   CD      1      1   34.11s i-05c5ad7a2c0e69096
