,kind,job,event,duration,container,experiment,iteration
0,singularity,cganalysis,pulled,871.031,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:cganalysis-gpu,gpu-static,1
1,singularity,mlrunner,pulled,1189.981,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-gpu,gpu-static,1
2,singularity,mlrunner,pulled,1189.418,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-gpu,gpu-static,3
3,singularity,createsime,pulled,1389.926,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:createsims-gpu,gpu-static,2
4,singularity,createsime,pulled,1190.929,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:createsims-gpu,gpu-static,1
5,singularity,createsime,pulled,1263.803,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:createsims-gpu,gpu-static,3
6,singularity,cganalysis,pulled,889.366,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:cganalysis-gpu,gpu-static,3
7,singularity,cganalysis,pulled,893.124,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:cganalysis-gpu,gpu-static,2
8,singularity,mlrunner,pulled,1189.583,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-gpu,gpu-static,2
9,singularity,cganalysis,pulled,144.272,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:cganalysis-arm,cpu-static,1
10,singularity,mlrunner,pulled,483.207,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm-singularity,cpu-static,1
11,singularity,mlrunner,pulled,467.65,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm-singularity,cpu-static,3
12,singularity,createsime,pulled,179.79,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:createsims-arm,cpu-static,2
13,singularity,createsime,pulled,171.851,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:createsims-arm,cpu-static,1
14,singularity,createsime,pulled,174.887,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:createsims-arm,cpu-static,3
15,singularity,cganalysis,pulled,143.066,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:cganalysis-arm,cpu-static,3
16,singularity,cganalysis,pulled,143.47899999999998,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:cganalysis-arm,cpu-static,2
17,singularity,mlrunner,pulled,477.536,docker://633731392008.dkr.ecr.us-east-1.amazonaws.com/mini-mummi:mlrunner-arm-singularity,cpu-static,2
19,,mlrunner,running,11.266892194747925,,cpu-static,1
20,,mlrunner,running,9.895902633666992,,cpu-static,1
21,,mlrunner,running,91.44709134101868,,cpu-static,1
