,experiment,function,job,duration,iteration
0,cpu-static,cganalysis_load_mdanalysis,cganalysis,21.29498791694641,1
1,cpu-static,cganalysis_load_mdanalysis,cganalysis,17.942188024520874,2
2,cpu-static,cganalysis_load_mdanalysis,cganalysis,8.793610095977783,3
3,cpu-static,cganalysis_main_analysis,cganalysis,17796.49768638611,1
4,cpu-static,cganalysis_main_analysis,cganalysis,17794.542737722397,2
5,cpu-static,cganalysis_main_analysis,cganalysis,16395.767115354538,3
6,cpu-static,cganalysis_run,cganalysis,17869.83872437477,1
7,cpu-static,cganalysis_run,cganalysis,17864.285283088684,2
8,cpu-static,cganalysis_run,cganalysis,16455.60001850128,3
9,cpu-static,cganalysis_run_simulation,cganalysis,50.08863949775696,1
10,cpu-static,cganalysis_run_simulation,cganalysis,50.08808135986328,2
11,cpu-static,cganalysis_run_simulation,cganalysis,50.09647250175476,3
12,cpu-static,cganalysis_simrun,cganalysis,50.08755564689636,1
13,cpu-static,cganalysis_simrun,cganalysis,50.08701276779175,2
14,cpu-static,cganalysis_simrun,cganalysis,50.09544062614441,3
15,cpu-static,createsim_runtime,createsim,4978.064379692078,1
16,cpu-static,createsim_runtime,createsim,4979.134280204773,2
17,cpu-static,createsim_runtime,createsim,4948.180382490158,3
18,cpu-static,createsims_create_cg_patch,createsim,0.035421133041381836,1
19,cpu-static,createsims_create_cg_patch,createsim,0.031099557876586914,2
20,cpu-static,createsims_create_cg_patch,createsim,0.030976295471191406,3
21,cpu-static,createsims_generate_velocities,createsim,343.79061007499695,1
22,cpu-static,createsims_generate_velocities,createsim,341.5409023761749,2
23,cpu-static,createsims_generate_velocities,createsim,342.9401013851166,3
24,cpu-static,createsims_gromacs_energy_minimization,createsim,34.76385045051575,1
25,cpu-static,createsims_gromacs_energy_minimization,createsim,23.265998125076294,2
26,cpu-static,createsims_gromacs_energy_minimization,createsim,18.923118114471436,3
27,cpu-static,createsims_gromacs_make_ndx,createsim,5.625622987747192,1
28,cpu-static,createsims_gromacs_make_ndx,createsim,5.103180885314941,2
29,cpu-static,createsims_gromacs_make_ndx,createsim,5.097941637039185,3
30,cpu-static,createsims_mdrun_lipids_water,createsim,31.102131366729736,1
31,cpu-static,createsims_mdrun_lipids_water,createsim,17.39789652824402,2
32,cpu-static,createsims_mdrun_lipids_water,createsim,26.88528084754944,3
33,cpu-static,createsims_prime_cg_sim,createsim,12.976237058639526,1
34,cpu-static,createsims_prime_cg_sim,createsim,12.995053768157959,2
35,cpu-static,createsims_prime_cg_sim,createsim,12.93143105506897,3
36,cpu-static,createsims_pull_molecules,createsim,2884.746033668518,1
37,cpu-static,createsims_pull_molecules,createsim,2873.300149679184,2
38,cpu-static,createsims_pull_molecules,createsim,2844.0766282081604,3
39,cpu-static,createsims_relax_protein,createsim,238.02795815467834,1
40,cpu-static,createsims_relax_protein,createsim,236.88404774665833,2
41,cpu-static,createsims_relax_protein,createsim,236.09698295593262,3
42,cpu-static,createsims_setup_cg_sim,createsim,4964.404524087906,1
43,cpu-static,createsims_setup_cg_sim,createsim,4965.43120765686,2
44,cpu-static,createsims_setup_cg_sim,createsim,4934.540438890457,3
45,cpu-static,createsims_short_equilibration,createsim,1412.6108286380768,1
46,cpu-static,createsims_short_equilibration,createsim,1431.2439172267914,2
47,cpu-static,createsims_short_equilibration,createsim,1419.493479013443,3
48,cpu-static,createsims_trjconv_lipids_water,createsim,4.869423151016235,1
49,cpu-static,createsims_trjconv_lipids_water,createsim,2.4439990520477295,2
50,cpu-static,createsims_trjconv_lipids_water,createsim,4.681207895278931,3
51,gpu-static,cganalysis_load_mdanalysis,cganalysis,18.65700912475586,1
52,gpu-static,cganalysis_load_mdanalysis,cganalysis,11.140678644180298,2
53,gpu-static,cganalysis_load_mdanalysis,cganalysis,11.21453309059143,3
