,experiment,job,count,iteration
0,cpu-static,mlsample,1,1
1,cpu-static,createsim,0,1
2,cpu-static,cganalysis,0,1
3,cpu-static,mlsample,0,3
4,cpu-static,createsim,0,3
5,cpu-static,cganalysis,0,3
6,cpu-static,mlsample,0,2
7,cpu-static,createsim,0,2
8,cpu-static,cganalysis,0,2
9,gpu-static,mlsample,1,1
10,gpu-static,createsim,0,1
11,gpu-static,cganalysis,0,1
12,gpu-static,mlsample,0,3
13,gpu-static,createsim,0,3
14,gpu-static,cganalysis,0,3
15,gpu-static,mlsample,0,2
16,gpu-static,createsim,0,2
17,gpu-static,cganalysis,0,2
