,experiment,event,duration,global,iteration
1,cpu-static,mlrunner,92.54815816879272,mlrunner_success,1
2,cpu-static,mlrunner,92.30524468421936,mlrunner_success,1
3,cpu-static,mlrunner,93.77196192741394,mlrunner_success,1
4,cpu-static,mlrunner,92.43798732757568,mlrunner_success,1
5,cpu-static,mlrunner,92.5991690158844,mlrunner_success,1
6,cpu-static,mlrunner,92.46736669540405,mlrunner_success,1
7,cpu-static,createsim,514.9065079689026,createsim_success,1
8,cpu-static,createsim,507.9587128162384,createsim_success,1
9,cpu-static,createsim,511.1426546573639,createsim_success,1
10,cpu-static,createsim,509.8704698085785,createsim_success,1
11,cpu-static,createsim,512.2292025089264,createsim_success,1
12,cpu-static,createsim,531.9478430747986,createsim_success,1
13,cpu-static,cganalysis,1810.1118626594543,cganalysis_success,1
14,cpu-static,cganalysis,1808.5105285644531,cganalysis_success,1
15,cpu-static,cganalysis,1807.2139463424683,cganalysis_success,1
16,cpu-static,cganalysis,1806.1879394054413,cganalysis_success,1
17,cpu-static,cganalysis,1803.1056439876556,cganalysis_success,1
18,cpu-static,cganalysis,1798.5770542621613,cganalysis_success,1
19,cpu-static,mlrunner,9.530886888504028,mlrunner_success,1
20,cpu-static,mlrunner,9.721482992172241,mlrunner_success,1
21,cpu-static,mlrunner,11.197248697280884,mlrunner_success,1
22,cpu-static,mlrunner,11.122029304504395,mlrunner_success,1
23,cpu-static,createsim,526.7829115390778,createsim_success,1
24,cpu-static,createsim,507.303772687912,createsim_success,1
25,cpu-static,createsim,36.65044164657593,createsim_failure,1
26,cpu-static,createsim,493.7078309059143,createsim_success,1
27,cpu-static,mlrunner,9.823667526245117,mlrunner_success,1
28,cpu-static,createsim,489.3322012424469,createsim_success,1
29,cpu-static,cganalysis,1786.2628617286682,cganalysis_success,1
30,cpu-static,cganalysis,1786.2530298233032,cganalysis_success,1
31,cpu-static,cganalysis,1786.2706701755524,cganalysis_success,1
32,cpu-static,cganalysis,1786.2415671348572,cganalysis_success,1
34,cpu-static,mlrunner,9.826950073242188,mlrunner_success,3
35,cpu-static,mlrunner,9.700803518295288,mlrunner_success,3
36,cpu-static,mlrunner,9.87077021598816,mlrunner_success,3
37,cpu-static,mlrunner,9.92721438407898,mlrunner_success,3
38,cpu-static,mlrunner,9.985503196716309,mlrunner_success,3
39,cpu-static,mlrunner,10.041878938674927,mlrunner_success,3
40,cpu-static,createsim,492.91311264038086,createsim_success,3
41,cpu-static,createsim,516.2887852191925,createsim_success,3
42,cpu-static,createsim,495.59036350250244,createsim_success,3
43,cpu-static,createsim,493.6405818462372,createsim_success,3
44,cpu-static,createsim,488.82727003097534,createsim_success,3
