,experiment,function,duration,iteration
0,flux-cpu,cganalysis_success,17978.735104084015,1
1,flux-cpu,cganalysis_success,17947.466616392136,2
2,flux-cpu,cganalysis_success,16474.328400611877,3
3,flux-cpu,createsim_failure,36.65044164657593,1
4,flux-cpu,createsim_success,5105.182107210159,1
5,flux-cpu,createsim_success,5087.932330608368,2
6,flux-cpu,createsim_success,4967.8932065963745,3
7,flux-cpu,mlrunner_failure,7.613388538360596,2
8,flux-cpu,mlrunner_success,607.5252032279968,1
9,flux-cpu,mlrunner_success,115.81125497817993,2
10,flux-cpu,mlrunner_success,100.45860385894775,3
11,flux-cpu,workflow_complete,4745.525153398514,1
12,flux-cpu,workflow_complete,4644.108295440674,2
13,flux-cpu,workflow_complete,4584.8631892204285,3
14,flux-gpu,cganalysis_success,17983.249766349792,1
15,flux-gpu,cganalysis_success,17881.616295337677,2
16,flux-gpu,cganalysis_success,17882.13970541954,3
17,flux-gpu,createsim_failure,74.43671226501465,1
18,flux-gpu,createsim_success,7047.289261817932,1
19,flux-gpu,createsim_success,6979.106717824936,2
20,flux-gpu,createsim_success,6936.831313371658,3
21,flux-gpu,mlrunner_success,293.894654750824,1
22,flux-gpu,mlrunner_success,161.88955163955688,2
23,flux-gpu,mlrunner_success,161.4502658843994,3
24,flux-gpu,workflow_complete,5059.9727737903595,1
25,flux-gpu,workflow_complete,5044.751448869705,2
26,flux-gpu,workflow_complete,5017.005129337311,3
