NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-023006487-zw5jw   0/1     Completed   0          29m   192.168.19.241   ip-192-168-29-13.ec2.internal    <none>           <none>
cganalysis-structure-024071044-xcr25   0/1     Completed   0          69m   192.168.20.27    ip-192-168-30-153.ec2.internal   <none>           <none>
cganalysis-structure-048374956-7wjp6   0/1     Completed   0          30m   192.168.12.203   ip-192-168-30-153.ec2.internal   <none>           <none>
cganalysis-structure-056875909-kv8vk   0/1     Completed   0          31m   192.168.23.40    ip-192-168-28-103.ec2.internal   <none>           <none>
cganalysis-structure-072532526-tjpck   0/1     Completed   0          30m   192.168.13.40    ip-192-168-5-140.ec2.internal    <none>           <none>
cganalysis-structure-075696127-hw26l   0/1     Completed   0          69m   192.168.30.1     ip-192-168-28-103.ec2.internal   <none>           <none>
cganalysis-structure-082336963-dj962   0/1     Completed   0          69m   192.168.17.162   ip-192-168-29-13.ec2.internal    <none>           <none>
cganalysis-structure-082865760-5fzmm   0/1     Completed   0          69m   192.168.0.155    ip-192-168-5-140.ec2.internal    <none>           <none>
createsim-structure-023006487-75hcr    0/1     Completed   0          38m   192.168.10.247   ip-192-168-29-13.ec2.internal    <none>           <none>
createsim-structure-024071044-hbd2b    0/1     Completed   0          78m   192.168.22.119   ip-192-168-28-103.ec2.internal   <none>           <none>
createsim-structure-048374956-phdnf    0/1     Completed   0          38m   192.168.21.225   ip-192-168-30-153.ec2.internal   <none>           <none>
createsim-structure-056875909-ljk9v    0/1     Completed   0          38m   192.168.30.1     ip-192-168-28-103.ec2.internal   <none>           <none>
createsim-structure-072532526-dtj2g    0/1     Completed   0          38m   192.168.0.39     ip-192-168-5-140.ec2.internal    <none>           <none>
createsim-structure-075696127-5lptf    0/1     Completed   0          78m   192.168.23.5     ip-192-168-30-153.ec2.internal   <none>           <none>
createsim-structure-082336963-phbfh    0/1     Completed   0          78m   192.168.5.59     ip-192-168-29-13.ec2.internal    <none>           <none>
createsim-structure-082865760-pnhss    0/1     Completed   0          78m   192.168.14.119   ip-192-168-5-140.ec2.internal    <none>           <none>
mlrunner-structure-023006487-mdr52     0/1     Completed   0          39m   192.168.25.231   ip-192-168-29-13.ec2.internal    <none>           <none>
mlrunner-structure-023224664-hvwsq     0/1     Completed   0          83m   192.168.23.218   ip-192-168-29-13.ec2.internal    <none>           <none>
mlrunner-structure-024071044-slfbk     0/1     Completed   0          83m   192.168.10.235   ip-192-168-28-103.ec2.internal   <none>           <none>
mlrunner-structure-048374956-xg6w6     0/1     Completed   0          39m   192.168.9.186    ip-192-168-30-153.ec2.internal   <none>           <none>
mlrunner-structure-056875909-flj74     0/1     Completed   0          39m   192.168.3.246    ip-192-168-28-103.ec2.internal   <none>           <none>
mlrunner-structure-075696127-2jwdl     0/1     Completed   0          83m   192.168.25.68    ip-192-168-5-140.ec2.internal    <none>           <none>
mlrunner-structure-082865760-64gcr     0/1     Completed   0          83m   192.168.16.94    ip-192-168-30-153.ec2.internal   <none>           <none>
mummi-manager-55b864fb8f-vp5lm         1/1     Running     0          83m   192.168.62.238   ip-192-168-62-91.ec2.internal    <none>           <none>
registry-0                             1/1     Running     0          83m   192.168.56.96    ip-192-168-62-91.ec2.internal    <none>           <none>
