NAME                                   READY   STATUS      RESTARTS   AGE    IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-012048918-5ldsg   0/1     Completed   0          30m    192.168.7.44     ip-192-168-2-169.ec2.internal    <none>           <none>
cganalysis-structure-019026624-qxss6   0/1     Completed   0          77m    192.168.10.159   ip-192-168-24-129.ec2.internal   <none>           <none>
cganalysis-structure-020097401-g2ccz   0/1     Completed   0          77m    192.168.27.74    ip-192-168-2-169.ec2.internal    <none>           <none>
cganalysis-structure-042389880-n5wzq   0/1     Completed   0          30m    192.168.27.198   ip-192-168-24-129.ec2.internal   <none>           <none>
cganalysis-structure-049997188-x54wj   0/1     Completed   0          29m    192.168.18.190   ip-192-168-3-139.ec2.internal    <none>           <none>
cganalysis-structure-092311769-7v7pk   0/1     Completed   0          29m    192.168.18.10    ip-192-168-8-252.ec2.internal    <none>           <none>
cganalysis-structure-094240378-r2xzs   0/1     Completed   0          76m    192.168.30.189   ip-192-168-8-252.ec2.internal    <none>           <none>
cganalysis-structure-098490409-w9kjv   0/1     Completed   0          76m    192.168.16.146   ip-192-168-3-139.ec2.internal    <none>           <none>
createsim-structure-012048918-f824t    0/1     Completed   0          43m    192.168.13.77    ip-192-168-24-129.ec2.internal   <none>           <none>
createsim-structure-019026624-6g52d    0/1     Completed   0          93m    192.168.13.77    ip-192-168-24-129.ec2.internal   <none>           <none>
createsim-structure-020097401-jvfwc    0/1     Completed   0          93m    192.168.23.45    ip-192-168-2-169.ec2.internal    <none>           <none>
createsim-structure-042389880-wxz45    0/1     Completed   0          43m    192.168.5.4      ip-192-168-2-169.ec2.internal    <none>           <none>
createsim-structure-049997188-gpcnw    0/1     Completed   0          43m    192.168.31.118   ip-192-168-3-139.ec2.internal    <none>           <none>
createsim-structure-092311769-cwl82    0/1     Completed   0          43m    192.168.14.195   ip-192-168-8-252.ec2.internal    <none>           <none>
createsim-structure-094240378-rzjzq    0/1     Completed   0          93m    192.168.15.1     ip-192-168-8-252.ec2.internal    <none>           <none>
createsim-structure-098490409-gr86n    0/1     Completed   0          93m    192.168.17.184   ip-192-168-3-139.ec2.internal    <none>           <none>
mlrunner-structure-012048918-c7vbq     0/1     Completed   0          44m    192.168.3.206    ip-192-168-24-129.ec2.internal   <none>           <none>
mlrunner-structure-019026624-8jnhc     0/1     Completed   0          100m   192.168.11.65    ip-192-168-2-169.ec2.internal    <none>           <none>
mlrunner-structure-020097401-5dthj     0/1     Completed   0          100m   192.168.31.234   ip-192-168-24-129.ec2.internal   <none>           <none>
mlrunner-structure-042389880-ps7zd     0/1     Completed   0          44m    192.168.17.225   ip-192-168-2-169.ec2.internal    <none>           <none>
mlrunner-structure-049997188-vljr9     0/1     Completed   0          44m    192.168.15.1     ip-192-168-8-252.ec2.internal    <none>           <none>
mlrunner-structure-092311769-xnpf6     0/1     Completed   0          44m    192.168.18.190   ip-192-168-3-139.ec2.internal    <none>           <none>
mlrunner-structure-094240378-rkxjm     0/1     Completed   0          100m   192.168.1.173    ip-192-168-8-252.ec2.internal    <none>           <none>
mlrunner-structure-098490409-wtjjx     0/1     Completed   0          100m   192.168.23.78    ip-192-168-3-139.ec2.internal    <none>           <none>
mummi-manager-d6f98c7dd-wmcbs          1/1     Running     0          100m   192.168.21.172   ip-192-168-10-157.ec2.internal   <none>           <none>
registry-0                             1/1     Running     0          100m   192.168.6.23     ip-192-168-10-157.ec2.internal   <none>           <none>
