NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-006100470-tkgmx   0/1     Completed   0          77m   192.168.30.91    ip-192-168-30-228.ec2.internal   <none>           <none>
cganalysis-structure-006900463-d5tf9   0/1     Completed   0          31m   192.168.31.201   ip-192-168-11-66.ec2.internal    <none>           <none>
cganalysis-structure-019839573-lqxz7   0/1     Completed   0          77m   192.168.13.203   ip-192-168-11-66.ec2.internal    <none>           <none>
cganalysis-structure-029815797-jfsln   0/1     Completed   0          31m   192.168.7.147    ip-192-168-11-2.ec2.internal     <none>           <none>
cganalysis-structure-066529602-5l7tx   0/1     Completed   0          77m   192.168.17.92    ip-192-168-11-2.ec2.internal     <none>           <none>
cganalysis-structure-076643718-6wwjw   0/1     Completed   0          30m   192.168.1.223    ip-192-168-30-228.ec2.internal   <none>           <none>
createsim-structure-006100470-q85ws    0/1     Completed   0          92m   192.168.0.147    ip-192-168-30-228.ec2.internal   <none>           <none>
createsim-structure-006900463-h2nx6    0/1     Completed   0          44m   192.168.3.97     ip-192-168-11-2.ec2.internal     <none>           <none>
createsim-structure-010769588-6fbnm    0/1     Error       0          44m   192.168.30.145   ip-192-168-30-228.ec2.internal   <none>           <none>
createsim-structure-019839573-t8bll    0/1     Completed   0          92m   192.168.14.79    ip-192-168-11-66.ec2.internal    <none>           <none>
createsim-structure-029815797-zgp8q    0/1     Completed   0          44m   192.168.20.50    ip-192-168-11-66.ec2.internal    <none>           <none>
createsim-structure-066529602-bb6z2    0/1     Completed   0          92m   192.168.28.14    ip-192-168-11-2.ec2.internal     <none>           <none>
createsim-structure-076643718-9hbhm    0/1     Completed   0          41m   192.168.25.225   ip-192-168-30-228.ec2.internal   <none>           <none>
mlrunner-structure-006100470-cfbvq     0/1     Completed   0          99m   192.168.30.91    ip-192-168-30-228.ec2.internal   <none>           <none>
mlrunner-structure-006900463-c6tph     0/1     Completed   0          45m   192.168.28.14    ip-192-168-11-2.ec2.internal     <none>           <none>
mlrunner-structure-010769588-dswpb     0/1     Completed   0          45m   192.168.28.30    ip-192-168-11-66.ec2.internal    <none>           <none>
mlrunner-structure-019839573-r9wq7     0/1     Completed   0          99m   192.168.31.201   ip-192-168-11-66.ec2.internal    <none>           <none>
mlrunner-structure-029815797-lztk2     0/1     Completed   0          45m   192.168.16.107   ip-192-168-30-228.ec2.internal   <none>           <none>
mlrunner-structure-076643718-mvrwz     0/1     Completed   0          42m   192.168.0.147    ip-192-168-30-228.ec2.internal   <none>           <none>
mlrunner-structure-091354498-8s2dj     0/1     Completed   0          99m   192.168.19.44    ip-192-168-11-2.ec2.internal     <none>           <none>
mummi-manager-d6f98c7dd-lqcjh          1/1     Running     0          99m   192.168.15.140   ip-192-168-0-150.ec2.internal    <none>           <none>
registry-0                             1/1     Running     0          99m   192.168.20.107   ip-192-168-0-150.ec2.internal    <none>           <none>
