NAME                                   READY   STATUS      RESTARTS   AGE    IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-003855334-f7kp9   0/1     Completed   0          30m    192.168.7.169    ip-192-168-20-58.ec2.internal    <none>           <none>
cganalysis-structure-011530387-l2b5n   0/1     Completed   0          30m    192.168.25.1     ip-192-168-31-24.ec2.internal    <none>           <none>
cganalysis-structure-014302475-5ff9m   0/1     Completed   0          31m    192.168.16.145   ip-192-168-10-103.ec2.internal   <none>           <none>
cganalysis-structure-014439553-bq44k   0/1     Completed   0          77m    192.168.13.149   ip-192-168-20-58.ec2.internal    <none>           <none>
cganalysis-structure-021843090-8d9ls   0/1     Completed   0          77m    192.168.6.34     ip-192-168-10-103.ec2.internal   <none>           <none>
cganalysis-structure-026650774-8k6mt   0/1     Completed   0          77m    192.168.21.11    ip-192-168-5-205.ec2.internal    <none>           <none>
cganalysis-structure-034991391-r4bbg   0/1     Completed   0          77m    192.168.31.30    ip-192-168-28-65.ec2.internal    <none>           <none>
cganalysis-structure-055412757-dhntc   0/1     Completed   0          77m    192.168.21.14    ip-192-168-31-24.ec2.internal    <none>           <none>
cganalysis-structure-073025207-qq4z9   0/1     Completed   0          30m    192.168.9.250    ip-192-168-5-205.ec2.internal    <none>           <none>
cganalysis-structure-074525896-5jdpr   0/1     Completed   0          53m    192.168.17.131   ip-192-168-3-235.ec2.internal    <none>           <none>
createsim-structure-003855334-pqmtt    0/1     Completed   0          44m    192.168.13.149   ip-192-168-20-58.ec2.internal    <none>           <none>
createsim-structure-011530387-n6nvz    0/1     Completed   0          44m    192.168.11.205   ip-192-168-31-24.ec2.internal    <none>           <none>
createsim-structure-014302475-9qlvz    0/1     Completed   0          44m    192.168.31.96    ip-192-168-10-103.ec2.internal   <none>           <none>
createsim-structure-014439553-s4bnm    0/1     Completed   0          93m    192.168.21.181   ip-192-168-20-58.ec2.internal    <none>           <none>
createsim-structure-021843090-vt56d    0/1     Completed   0          93m    192.168.10.101   ip-192-168-10-103.ec2.internal   <none>           <none>
createsim-structure-026650774-lj2gh    0/1     Completed   0          93m    192.168.11.194   ip-192-168-5-205.ec2.internal    <none>           <none>
createsim-structure-034991391-qfxqs    0/1     Completed   0          93m    192.168.13.89    ip-192-168-28-65.ec2.internal    <none>           <none>
createsim-structure-055412757-wpslw    0/1     Completed   0          93m    192.168.3.180    ip-192-168-31-24.ec2.internal    <none>           <none>
createsim-structure-067537610-ts6lt    0/1     Error       0          93m    192.168.9.214    ip-192-168-3-235.ec2.internal    <none>           <none>
createsim-structure-073025207-hvzs9    0/1     Completed   0          44m    192.168.6.239    ip-192-168-5-205.ec2.internal    <none>           <none>
createsim-structure-074525896-c2z7g    0/1     Completed   0          66m    192.168.8.155    ip-192-168-3-235.ec2.internal    <none>           <none>
mlrunner-structure-003855334-vjljz     0/1     Completed   0          45m    192.168.17.61    ip-192-168-20-58.ec2.internal    <none>           <none>
mlrunner-structure-011530387-wbgtn     0/1     Completed   0          45m    192.168.1.107    ip-192-168-28-65.ec2.internal    <none>           <none>
mlrunner-structure-014302475-hdr55     0/1     Completed   0          45m    192.168.23.99    ip-192-168-31-24.ec2.internal    <none>           <none>
mlrunner-structure-014439553-8fbjj     0/1     Completed   0          100m   192.168.25.1     ip-192-168-31-24.ec2.internal    <none>           <none>
mlrunner-structure-021843090-wph68     0/1     Completed   0          100m   192.168.26.229   ip-192-168-10-103.ec2.internal   <none>           <none>
mlrunner-structure-026650774-l62nr     0/1     Completed   0          100m   192.168.23.180   ip-192-168-5-205.ec2.internal    <none>           <none>
mlrunner-structure-034991391-mp5nm     0/1     Completed   0          100m   192.168.18.129   ip-192-168-28-65.ec2.internal    <none>           <none>
mlrunner-structure-055412757-9gqqx     0/1     Completed   0          100m   192.168.7.240    ip-192-168-20-58.ec2.internal    <none>           <none>
mlrunner-structure-067537610-wq8md     0/1     Completed   0          100m   192.168.26.91    ip-192-168-3-235.ec2.internal    <none>           <none>
mlrunner-structure-073025207-22nb7     0/1     Completed   0          44m    192.168.18.226   ip-192-168-5-205.ec2.internal    <none>           <none>
mlrunner-structure-074525896-hvlzm     0/1     Completed   0          67m    192.168.25.244   ip-192-168-3-235.ec2.internal    <none>           <none>
mummi-manager-d6f98c7dd-9nnnv          1/1     Running     0          100m   192.168.29.30    ip-192-168-26-20.ec2.internal    <none>           <none>
registry-0                             1/1     Running     0          100m   192.168.26.130   ip-192-168-26-20.ec2.internal    <none>           <none>
