,experiment,function,duration,iteration
0,cpu-autoscale,cganalysis_success,17887.43307542801,0
1,cpu-autoscale,createsim_failure,145.01004099845886,0
2,cpu-autoscale,createsim_success,5081.13734292984,0
3,cpu-autoscale,mlrunner_success,2405.186496734619,0
4,cpu-autoscale,workflow_complete,5006.600611209869,0
5,cpu-static,cganalysis_success,17886.9058508873,0
6,cpu-static,cganalysis_success,17885.591605901718,1
7,cpu-static,createsim_failure,147.0155303478241,0
8,cpu-static,createsim_success,5089.432117700577,0
9,cpu-static,createsim_success,5120.167689085007,1
10,cpu-static,mlrunner_success,2357.309737920761,0
11,cpu-static,mlrunner_success,2293.7765085697174,1
12,cpu-static,workflow_complete,5084.473639726639,0
13,cpu-static,workflow_complete,4994.695705413818,1
14,gpu-autoscale,cganalysis_success,18861.502461194992,0
15,gpu-autoscale,createsim_failure,95.372141122818,0
16,gpu-autoscale,createsim_success,8187.135896682739,0
17,gpu-autoscale,mlrunner_success,2729.144110441208,0
18,gpu-autoscale,workflow_complete,5936.32226061821,0
19,gpu-static,cganalysis_success,18846.73228955269,0
20,gpu-static,createsim_success,8270.365060567856,0
21,gpu-static,mlrunner_success,2772.1634941101074,0
22,gpu-static,workflow_complete,5864.469943523407,0
