NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                                           NOMINATED NODE   READINESS GATES
cganalysis-structure-000006219-tk2sv   0/1     Completed   0          32m   192.168.11.9     ip-192-168-12-140.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-003723862-g824k   0/1     Completed   0          32m   192.168.10.20    ip-192-168-30-82.us-east-2.compute.internal    <none>           <none>
cganalysis-structure-039450538-rfrs7   0/1     Completed   0          31m   192.168.24.81    ip-192-168-26-101.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-073573891-hc7k4   0/1     Completed   0          32m   192.168.24.43    ip-192-168-23-183.us-east-2.compute.internal   <none>           <none>
cganalysis-structure-082988082-wgsd7   0/1     Completed   0          33m   192.168.1.211    ip-192-168-15-61.us-east-2.compute.internal    <none>           <none>
cganalysis-structure-096623376-ccb6p   0/1     Completed   0          33m   192.168.21.85    ip-192-168-2-141.us-east-2.compute.internal    <none>           <none>
createsim-structure-000006219-m6mbn    0/1     Completed   0          51m   192.168.19.121   ip-192-168-12-140.us-east-2.compute.internal   <none>           <none>
createsim-structure-003723862-snqmr    0/1     Completed   0          51m   192.168.28.246   ip-192-168-30-82.us-east-2.compute.internal    <none>           <none>
createsim-structure-039450538-9m5r2    0/1     Completed   0          51m   192.168.13.127   ip-192-168-26-101.us-east-2.compute.internal   <none>           <none>
createsim-structure-073573891-84nnz    0/1     Completed   0          51m   192.168.3.13     ip-192-168-23-183.us-east-2.compute.internal   <none>           <none>
createsim-structure-082988082-8d4h8    0/1     Completed   0          51m   192.168.10.90    ip-192-168-15-61.us-east-2.compute.internal    <none>           <none>
createsim-structure-096623376-mslxr    0/1     Completed   0          51m   192.168.8.16     ip-192-168-2-141.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-000006219-r26ql     0/1     Completed   0          52m   192.168.1.222    ip-192-168-15-61.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-003723862-s7kcc     0/1     Completed   0          52m   192.168.23.35    ip-192-168-30-82.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-037350710-krwz9     0/1     Error       0          52m   192.168.6.175    ip-192-168-23-183.us-east-2.compute.internal   <none>           <none>
mlrunner-structure-039450538-wczkx     0/1     Completed   0          51m   192.168.28.22    ip-192-168-26-101.us-east-2.compute.internal   <none>           <none>
mlrunner-structure-059469795-mb7p9     0/1     Error       0          52m   192.168.7.226    ip-192-168-2-141.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-073573891-rw2ld     0/1     Completed   0          52m   192.168.3.243    ip-192-168-26-101.us-east-2.compute.internal   <none>           <none>
mlrunner-structure-082988082-2wk7m     0/1     Completed   0          51m   192.168.16.25    ip-192-168-15-61.us-east-2.compute.internal    <none>           <none>
mlrunner-structure-096623376-bmpwk     0/1     Completed   0          52m   192.168.5.226    ip-192-168-12-140.us-east-2.compute.internal   <none>           <none>
mummi-manager-8d8dcb588-rm5cx          1/1     Running     0          52m   192.168.22.108   ip-192-168-15-61.us-east-2.compute.internal    <none>           <none>
registry-0                             1/1     Running     0          52m   192.168.22.122   ip-192-168-12-140.us-east-2.compute.internal   <none>           <none>
