NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-022731889-kcvh2   0/1     Completed   0          33m   192.168.23.203   ip-192-168-8-93.ec2.internal     <none>           <none>
cganalysis-structure-042980663-bzxv8   0/1     Completed   0          34m   192.168.19.169   ip-192-168-21-84.ec2.internal    <none>           <none>
cganalysis-structure-059674938-nr6t4   0/1     Completed   0          32m   192.168.23.77    ip-192-168-4-220.ec2.internal    <none>           <none>
cganalysis-structure-065061590-q6hsn   0/1     Completed   0          33m   192.168.26.164   ip-192-168-9-79.ec2.internal     <none>           <none>
cganalysis-structure-065793096-s4jfh   0/1     Completed   0          33m   192.168.26.160   ip-192-168-23-226.ec2.internal   <none>           <none>
cganalysis-structure-084230035-x7w4j   0/1     Completed   0          33m   192.168.28.193   ip-192-168-27-10.ec2.internal    <none>           <none>
createsim-structure-022731889-r7dsc    0/1     Completed   0          48m   192.168.28.250   ip-192-168-8-93.ec2.internal     <none>           <none>
createsim-structure-042980663-2srqh    0/1     Completed   0          48m   192.168.6.120    ip-192-168-21-84.ec2.internal    <none>           <none>
createsim-structure-059674938-xxt8l    0/1     Completed   0          47m   192.168.0.180    ip-192-168-4-220.ec2.internal    <none>           <none>
createsim-structure-065061590-lfvzp    0/1     Completed   0          48m   192.168.18.0     ip-192-168-9-79.ec2.internal     <none>           <none>
createsim-structure-065793096-nxkns    0/1     Completed   0          48m   192.168.31.91    ip-192-168-23-226.ec2.internal   <none>           <none>
createsim-structure-084230035-mxxvn    0/1     Completed   0          48m   192.168.22.248   ip-192-168-27-10.ec2.internal    <none>           <none>
mlrunner-structure-022731889-6tzqx     0/1     Completed   0          55m   192.168.29.206   ip-192-168-8-93.ec2.internal     <none>           <none>
mlrunner-structure-032289641-2p7vk     0/1     Error       0          55m   192.168.0.174    ip-192-168-9-79.ec2.internal     <none>           <none>
mlrunner-structure-042980663-2gs2k     0/1     Completed   0          55m   192.168.4.129    ip-192-168-27-10.ec2.internal    <none>           <none>
mlrunner-structure-059674938-kwxr7     0/1     Completed   0          48m   192.168.23.77    ip-192-168-4-220.ec2.internal    <none>           <none>
mlrunner-structure-065061590-rrm2p     0/1     Completed   0          55m   192.168.21.213   ip-192-168-4-220.ec2.internal    <none>           <none>
mlrunner-structure-065793096-bwgtp     0/1     Completed   0          55m   192.168.26.160   ip-192-168-23-226.ec2.internal   <none>           <none>
mlrunner-structure-084230035-gpgm9     0/1     Completed   0          55m   192.168.15.58    ip-192-168-21-84.ec2.internal    <none>           <none>
mummi-manager-86ddd95986-dm7dg         1/1     Running     0          55m   192.168.22.181   ip-192-168-27-10.ec2.internal    <none>           <none>
registry-0                             1/1     Running     0          55m   192.168.23.215   ip-192-168-4-220.ec2.internal    <none>           <none>
