NAME                                   READY   STATUS      RESTARTS   AGE   IP               NODE                             NOMINATED NODE   READINESS GATES
cganalysis-structure-004861138-bf8mh   0/1     Completed   0          36m   192.168.3.65     ip-192-168-17-34.ec2.internal    <none>           <none>
cganalysis-structure-005718855-t8thb   0/1     Completed   0          36m   192.168.10.119   ip-192-168-19-122.ec2.internal   <none>           <none>
cganalysis-structure-006442629-x698n   0/1     Completed   0          35m   192.168.27.130   ip-192-168-5-214.ec2.internal    <none>           <none>
cganalysis-structure-008321843-rlsj8   0/1     Completed   0          35m   192.168.20.237   ip-192-168-7-239.ec2.internal    <none>           <none>
cganalysis-structure-046602127-468bl   0/1     Completed   0          35m   192.168.3.77     ip-192-168-23-33.ec2.internal    <none>           <none>
cganalysis-structure-098350605-5q6td   0/1     Completed   0          36m   192.168.2.212    ip-192-168-30-43.ec2.internal    <none>           <none>
createsim-structure-004861138-8mnl4    0/1     Completed   0          51m   192.168.17.227   ip-192-168-17-34.ec2.internal    <none>           <none>
createsim-structure-005718855-h5z82    0/1     Completed   0          51m   192.168.27.23    ip-192-168-19-122.ec2.internal   <none>           <none>
createsim-structure-006442629-r8kxr    0/1     Completed   0          51m   192.168.2.185    ip-192-168-5-214.ec2.internal    <none>           <none>
createsim-structure-008321843-7zxsh    0/1     Completed   0          51m   192.168.20.16    ip-192-168-7-239.ec2.internal    <none>           <none>
createsim-structure-046602127-rsrw5    0/1     Completed   0          51m   192.168.5.188    ip-192-168-23-33.ec2.internal    <none>           <none>
createsim-structure-098350605-pfk2b    0/1     Completed   0          51m   192.168.15.82    ip-192-168-30-43.ec2.internal    <none>           <none>
mlrunner-structure-004861138-xlq8s     0/1     Completed   0          58m   192.168.14.6     ip-192-168-7-239.ec2.internal    <none>           <none>
mlrunner-structure-005718855-pbtjr     0/1     Completed   0          58m   192.168.15.59    ip-192-168-5-214.ec2.internal    <none>           <none>
mlrunner-structure-006442629-xgddh     0/1     Completed   0          58m   192.168.9.10     ip-192-168-19-122.ec2.internal   <none>           <none>
mlrunner-structure-008321843-vp6c5     0/1     Completed   0          58m   192.168.4.141    ip-192-168-17-34.ec2.internal    <none>           <none>
mlrunner-structure-046602127-765gl     0/1     Completed   0          58m   192.168.1.120    ip-192-168-23-33.ec2.internal    <none>           <none>
mlrunner-structure-098350605-mnjp6     0/1     Completed   0          58m   192.168.8.250    ip-192-168-30-43.ec2.internal    <none>           <none>
mummi-manager-8d8dcb588-qb68l          1/1     Running     0          59m   192.168.19.237   ip-192-168-23-33.ec2.internal    <none>           <none>
registry-0                             1/1     Running     0          59m   192.168.20.31    ip-192-168-17-34.ec2.internal    <none>           <none>
