,experiment,function,duration
0,cpu-static,cganalysis_success,11249.149054288864
1,cpu-static,createsim_success,6840.5162444114685
2,cpu-static,mlrunner_failure,73.23418927192688
3,cpu-static,mlrunner_success,228.65293955802917
4,cpu-static,workflow_complete,3101.3518528938293
5,gpu-static,cganalysis_success,11681.761823654175
6,gpu-static,createsim_success,5266.454788208008
7,gpu-static,mlrunner_failure,450.4271237850189
8,gpu-static,mlrunner_success,2260.015055179596
9,gpu-static,workflow_complete,3327.1528792381287
